Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.026315789,0.09,0.145104232,0.134666667,7,0.131764706,0.137123817,2.066132962,2.646561939,14.25,7.733333333,9.290224253,15
0.09375,0,,,5,,,,,24,,,0
0.159090909,0,,,5,,,,,16.5,,,0
0.5,0.7,0.621696603,0.788,5,1.92,5.458552922,2.687647754,5.77431221,28.5,26.096,37.44447836,10
0.1,0.16,0.19679939,0.19,20,5.280169492,18.03508186,1.629580307,2.736434286,45,11.91238095,15.45721123,21
0.666666667,0.89,1.425356096,1.274,5,1.0264,1.205089485,3.717062147,3.201690549,20.25,16.43733333,12.74215023,15
0.054545455,0.16,0.316449548,0.346956522,20,3.056851852,7.916793668,1.767886179,2.364113381,41.25,9.012173913,9.16513897,23
0.414285714,1.04,1.728897384,0.909565217,8,1.081764706,2.477182503,2.821821632,3.295090182,26.25,10.45565217,11.670368,23
0.666666667,0.53,0.721429557,0.613333333,6,0.8992,1.322733659,3.838095238,3.609040021,20.25,16.08666667,11.67040494,12
0.375,0.23,0.26171231,0.226,1,0.464,0.714208508,3.101831502,4.925092065,24,25.712,25.06826094,10
0.147727273,0.17,0.240858583,0.168571429,8,0.235238095,0.376266888,2.338365243,2.313723575,33,13.05904762,10.46010034,21
0.037735849,0.14,0.099736015,0.125454545,9,0.218235294,0.286584758,1.838066261,3.023903205,39.75,18.73454545,18.91616259,11
0.367346939,0.06,0.79853225,0.469130435,8,0.516595745,1.00702592,2.066347728,2.3124791,36.75,9.909565217,9.28931521,23
0.147058824,0.1,1.120843287,0.50875,8,0.690909091,1.599002352,2.858913813,3.231166838,25.5,9.4,10.38149524,24
0.14516129,0,,,8,,,,,23.25,,,0
0.103773585,0.19,0.519821802,0.351666667,5,0.183269231,0.352457597,1.856991996,3.946089202,39.75,11.04888889,20.08831117,18
0.051282051,0.23,0.201413189,0.255454545,8,0.181081081,0.272037414,2.556882464,3.982453307,29.25,13.97090909,14.45630205,11
0.428571429,0,,,8,,,,,10.5,,,0
0.456521739,0.32,1.571028856,0.70875,5,0.88952381,1.884676302,4.657400891,4.473807031,17.25,19.695,19.24129379,16
0,0.09,0.127864243,0.096470588,7,0.096296296,0.12341762,3.354433761,5.461390837,21,18.38588235,27.56493766,17
0.285714286,0.08,0.999594035,0.594117647,8,1.561153846,5.7993864,3.489737426,4.174100568,21,18.64,19.52206956,17
0.318181818,0,,,9,,,,,16.5,,,0
0.268518519,0.1,0.643661197,0.2845,8,0.965961538,2.585759842,1.888806706,2.665835476,40.5,15.06,15.83948697,20
0.228571429,0.37,0.377153413,0.339166667,9,1.045757576,3.809018107,2.918604651,5.252279534,26.25,24.73333333,30.78691261,12
0.277777778,0.24,0.819702521,0.533,8,0.38,0.672626692,5.727729885,6.39759792,13.5,11.544,12.96382934,10
0.244897959,0.06,0.63423149,0.293125,8,0.655106383,1.661015761,2.049205564,3.277065766,36.75,14.31,18.22544156,16
0.666666667,0.68,0.750149985,0.65,6,0.838043478,1.315871692,2.071859903,2.303270129,36,11.67111111,6.688789959,9
0.258064516,0.18,0.172317679,0.200588235,8,0.312068966,0.407144931,3.345395983,2.640082211,23.25,7.736470588,5.249058179,17
0.37804878,0.18,1.658260613,0.7625,9,0.7195,1.371517875,2.389356436,2.760786934,30.75,5.8,6.444713371,24
0.619047619,0.27,0.899239802,0.561,7,1.513157895,3.142200313,5.107868682,6.82810555,15.75,18.376,25.29006269,10
0.15625,0.13,0.503383573,0.349545455,9,0.309677419,0.466336673,3.162634409,3.030606264,24,10.63272727,10.55964384,22
